50.00	50.00	0.00
50.00	51	0.00
50.00	52.00	0.00
50.00	53.00	0.00
50.00	54.00	0.00
50.00	55.00	0.00
50.00	56.00	0.00
50.00	57.00	0.00
50.00	58.00	0.00
50.00	59.00	0.00
50.00	60.00	0.00
50.00	61.00	0.00
50.00	62.00	0.00
50.00	63.00	0.00
50.00	64.00	0.00
50.00	65.00	0.00
50.00	66.00	0.00
50.00	67.00	0.00
50.00	68.00	0.00
50.00	69.00	0.00
50.00	70.00	0.00
50.00	71.00	0.00
50.00	72.00	0.00
50.00	73.00	0.00
50.00	74.00	0.00
50.00	75.00	0.00
50.00	76.00	0.00
50.00	77.00	0.00
50.00	78.00	0.00
50.00	79.00	0.00
50.00	80.00	0.00
50.00	81.00	0.00
50.00	82.00	0.00
50.00	83.00	0.00
50.00	84.00	0.00
50.00	85.00	0.00
50.00	86.00	0.00
50.00	87.00	0.00
50.00	88.00	0.00
50.00	89.00	0.00
50.00	90.00	0.00
50.00	91.00	0.00
50.00	92.00	0.00
50.00	93.00	0.00
50.00	94.00	0.00
50.00	95.00	0.00
50.00	96.00	0.00
50.00	97.00	0.00
50.00	98.00	0.00
50.00	99.00	0.00
50.00	100.00	0.00
50.00	101.00	0.00
50.00	102.00	0.00
50.00	103.00	0.00
50.00	104.00	0.00
50.00	105.00	0.00
50.00	106.00	0.00
50.00	107.00	0.00
50.00	108.00	0.00
50.00	109.00	0.00
50.00	110.00	0.00
50.00	111.00	0.00
50.00	112.00	0.00
50.00	113.00	0.00
50.00	114.00	0.00
50.00	115.00	0.00
50.00	116.00	0.00
50.00	117.00	0.00
50.00	118.00	0.00
50.00	119.00	0.00
50.00	120.00	0.00
50.00	121.00	0.00
50.00	122.00	0.00
50.00	123.00	0.00
50.00	124.00	0.00
50.00	125.00	0.00
50.00	126.00	0.00
50.00	127.00	0.00
50.00	128.00	0.00
50.00	129.00	0.00
50.00	130.00	0.00
50.00	131.00	0.00
50.00	132.00	0.00
50.00	133.00	0.00
50.00	134.00	0.00
50.00	135.00	0.00
50.00	136.00	0.00
50.00	137.00	0.00
50.00	138.00	0.00
50.00	139.00	0.00
50.00	140.00	0.00
50.00	141.00	0.00
50.00	142.00	0.00
50.00	143.00	0.00
50.00	144.00	0.00
50.00	145.00	0.00
50.00	146.00	0.00
50.00	147.00	0.00
50.00	148.00	0.00
50.00	149.00	0.00
50.00	150.00	0.00
50.00	151.00	0.00
50.00	152.00	0.00
50.00	153.00	0.00
50.00	154.00	0.00
50.00	155.00	0.00
