index,step,yield,cumyield,tmp_repeats,repeats,labelheight
1,Substrate,,,,,0.3
2,Epitaxy,0.75,0.75,1,$\times$1,0.3
3,Wafer_Inspection,1,0.75,6,$\times$6,0.3
4,Dry_Depn,0.98,0.705894,3,$\times$3,0.3
5,,,,0,,0.3
6,Lithography_Mask,0.95,0.546207321,5,$\times$5,0.3
7,Dry_Etch,0.98,0.524577511,2,$\times$2,0.3
8,,,,0,,0.3
9,N_Metal,0.98,0.514085961,1,$\times$1,0.3
10,P_Metal,0.98,0.503804242,1,$\times$1,0.3
11,Contact_Metal,0.98,0.493728157,1,$\times$1,0.3
12,,,,0,,0.3
13,Wafer Bonding,0.98,0.474176522,2,$\times$2,0.3
14,,,,0,,0.3
15,Backgrinding,0.95,0.450467696,1,$\times$1,0.3
16,GaN_CMP,0.95,0.427944311,1,$\times$1,0.3
17,Wafer Dicing,0.95,0.406547095,1,$\times$1,0.3
18,Wafer_Probe_Test,0.95,0.386219741,1,$\times$1,0.3
19,Sum,,0.386219741,0,,0.3
